SYMBOL,ISIN,Security Name,Band,Sector_NSE,Category,MC_Map_Symbol,Sector,Industry,MC_Name,Hyperlink,Exchange
GARDENSILK,INE526A01016,Garden Silk Mills Limited,20,,,GARDENSILK,Manufacturing,Textiles - Weaving,Garden Silk,http://www.moneycontrol.com/india/stockpricequote/textilesweaving/gardensilkmills/GSM,NSE
GARWALLROP,INE276A01018,Garware  Wall Ropes Limited,20,,,GARWALLROP,Manufacturing,Textiles - General,Garware Wall,http://www.moneycontrol.com/india/stockpricequote/textilesgeneral/garwarewallropes/GWR,NSE
GATI,INE152B01027,GATI Limited,20,SERVICES,,GATI,Services,Couriers,Gati,http://www.moneycontrol.com/india/stockpricequote/couriers/gati/G04,NSE
GAYAPROJ,INE336H01023,Gayatri Projects Limited,20,,,GAYAPROJ,Cement/Construction,Construction & Contracting - Civil,Gayatri Project,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/gayatriprojects/GP10,NSE
GDL,INE852F01015,Gateway Distriparks Limited,20,SERVICES,,GDL,Miscellaneous,Miscellaneous,Gateway Distri,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/gatewaydistriparks/GD01,NSE
GEECEE,INE916G01016,GeeCee Ventures Limited,20,,,GEECEE,Chemicals,Chemicals,GeeCee Ventures,http://www.moneycontrol.com/india/stockpricequote/chemicals/geeceeventures/GCI05,NSE
GENESYS,INE727B01026,Genesys International Corporation Limited,20,,,GENESYS,Technology,Computers - Software Medium & Small,Genesys Int,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/genesysinternationalcorporation/GIC10,NSE
GENUSPOWER,INE955D01029,Genus Power Infrastructures Limited,20,,,GENUSPOWER,Manufacturing,Electricals,Genus Power,http://www.moneycontrol.com/india/stockpricequote/electricals/genuspowerinfrastructures/GPI08,NSE
GEOJITFSL,INE007B01023,Geojit Financial Services Limited,20,,,GEOJITFSL,Banking/Finance,Finance - General,Geojit Fin,http://www.moneycontrol.com/india/stockpricequote/financegeneral/geojitfinancialservices/GBN01,NSE
GEPIL,INE878A01011,GE Power India Limited,20,INDUSTRIAL MANUFACTURING,,GEPIL,Engineering,Power - Transmission & Equipment,GE Power India,http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/gepowerindia/AP29,NSE
GESHIP,INE017A01032,The Great Eastern Shipping Company Limited,20,SERVICES,,GESHIP,Services,Shipping,GE Shipping,http://www.moneycontrol.com/india/stockpricequote/shipping/greateasternshippingcompany/GES,NSE
GET&D,INE200A01026,GE T&D India Limited,20,INDUSTRIAL MANUFACTURING,,GET&D,Engineering,Power - Transmission & Equipment,GE T&D India,http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/getdindia/ATD,NSE
GHCL,INE539A01019,GHCL Limited,20,CHEMICALS,NIFTY 500 Index/NIFTY Full Smallcap 100/NIFTY MidSmallcap 400/NIFTY Smallcap 250,GHCL,Chemicals,Chemicals,Guj Heavy Chem,http://www.moneycontrol.com/india/stockpricequote/chemicals/gujaratheavychemicals/GHC,NSE
GICHSGFIN,INE289B01019,GIC Housing Finance Limited,20,,,GICHSGFIN,Banking/Finance,Finance - Housing,GIC Housing Fin,http://www.moneycontrol.com/india/stockpricequote/financehousing/gichousingfinance/GIC,NSE
GICRE,INE481Y01014,General Insurance Corporation of India,20,,,GICRE,Conglomerates,Diversified,General Insuran,http://www.moneycontrol.com/india/stockpricequote/diversified/generalinsurancecorporationindia/GIC12,NSE
GILLETTE,INE322A01010,Gillette India Limited,20,CONSUMER GOODS,,GILLETTE,Cons Non-Durable,Personal Care,Gillette India,http://www.moneycontrol.com/india/stockpricequote/personalcare/gilletteindia/GI22,NSE
GINNIFILA,INE424C01010,Ginni Filaments Limited,20,,,GINNIFILA,Manufacturing,Textiles - Spinning - Cotton Blended,Ginni Filaments,http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/ginnifilaments/GF01,NSE
GIPCL,INE162A01010,Gujarat Industries Power Company Limited,20,,,GIPCL,Utilities,Power - Generation & Distribution,Guj Ind Power,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/gujaratindustriespowerco/GIP,NSE
GITANJALI,INE346H01014,Gitanjali Gems Limited,20,,,GITANJALI,Services,Diamond Cutting & Jewellery & Precious Metals,Gitanjali Gems,http://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/gitanjaligems/GG03,NSE
GKWLIMITED,INE528A01020,GKW Limited,10,,,GKWLIMITED,Manufacturing,Fasteners,GKW,http://www.moneycontrol.com/india/stockpricequote/fasteners/gkw/GKW,NSE
GLAXO,INE159A01016,GlaxoSmithKline Pharmaceuticals Limited,20,PHARMA,,GLAXO,Pharmaceuticals,Pharmaceuticals,GlaxoSmithKline,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glaxosmithklinepharmaceuticals/GSK,NSE
GLENMARK,INE935A01035,Glenmark Pharmaceuticals Limited,No Band,PHARMA,BSE 100 Index/Derivative Product,GLENMARK,Pharmaceuticals,Pharmaceuticals,Glenmark,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glenmarkpharma/GP08,NSE
GLOBALVECT,INE792H01019,Global Vectra Helicorp Limited,20,,,GLOBALVECT,Miscellaneous,Transport & Logistics,Global Vectra,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/globalvectrahelicorp/GVH,NSE
GMBREW,INE075D01018,GM Breweries Limited,20,,,GMBREW,Food & Beverage,Breweries & Distilleries,GM Breweries,http://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/gmbreweries/GMB,NSE
GMDCLTD,INE131A01031,Gujarat Mineral Development Corporation Limited,20,METALS,Nifty PSE Index,GMDCLTD,Metals & Mining,Mining & Minerals,Guj Mineral,http://www.moneycontrol.com/india/stockpricequote/miningminerals/gujaratmineraldevelopmentcorporation/GMD,NSE
GMRINFRA,INE776C01039,GMR Infrastructure Limited,No Band,CONSTRUCTION,Derivative Product/Nifty Infrastructure Index/Nifty Midcap 50,GMRINFRA,Engineering,Infrastructure - General,GMR Infra,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/gmrinfrastructure/GI27,NSE
GNA,INE934S01014,GNA Axles Limited,20,,,,,,,,NSE
GNFC,INE113A01013,Gujarat Narmada Valley Fertilizers and Chemicals Limited,20,CHEMICALS,NIFTY 500 Index/NIFTY Full Smallcap 100/NIFTY Smallcap 250/NIFTY MidSmallcap 400,GNFC,Chemicals,Fertilisers,GNFC,http://www.moneycontrol.com/india/stockpricequote/fertilisers/gujaratnarmadavalleyfertilizerschemicals/GNV,NSE
GOACARBON,INE426D01013,Goa Carbon Limited,5,,,GOACARBON,Chemicals,Petrochemicals,Goa Carbon,http://www.moneycontrol.com/india/stockpricequote/petrochemicals/goacarbon/GC04,NSE
GOCLCORP,INE077F01035,GOCL Corporation Limited,20,,,GOCLCORP,Chemicals,Chemicals,GOCL Corp,http://www.moneycontrol.com/india/stockpricequote/chemicals/goclcorporation/GOC01,NSE
GODFRYPHLP,INE260B01028,Godfrey Phillips India Limited,No Band,CONSUMER GOODS,,,,,,,NSE
GODREJAGRO,INE850D01014,Godrej Agrovet Limited,20,,,GODREJAGRO,Miscellaneous,Miscellaneous,Godrej Agrovet,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/godrejagrovet/GA03,NSE
GODREJCP,INE102D01028,Godrej Consumer Products Limited,No Band,CONSUMER GOODS,NIFTY Growth Sectors 15 Index,GODREJCP,Cons Non-Durable,Personal Care,Godrej Consumer,http://www.moneycontrol.com/india/stockpricequote/personalcare/godrejconsumerproducts/GCP,NSE
