SYMBOL,ISIN,Security Name,Band,Sector_NSE,Category,MC_Map_Symbol,Sector,Industry,MC_Name,Hyperlink,Exchange
20MICRONS,INE144J01027,20 Microns Limited,20,,,,,,,,NSE
3IINFOTECH,INE748C01020,3i Infotech Limited,10,,,3IINFOTECH,Technology,Computers - Software,3i Infotech,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/3iinfotech/I11,NSE
3MINDIA,INE470A01017,3M India Limited,20,SERVICES,,3MINDIA,Conglomerates,Diversified,3M India,http://www.moneycontrol.com/india/stockpricequote/diversified/3mindia/MI42,NSE
5PAISA,INE618L01018,5Paisa Capital Limited,5,,,5PAISA,Miscellaneous,Miscellaneous,5paisa Capita,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/5paisacapital/C98,NSE
63MOONS,INE111B01023,63 moons technologies limited,20,,Nifty IT,63MOONS,Technology,Computers - Software,63 Moons Tech,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/63moonstechnologies/FT02,NSE
8KMILES,INE650K01021,8K Miles Software Services Limited,20,IT,,8KMILES,Banking/Finance,Computers - Software,8K Miles Soft,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/8kmilessoftwareservices/PMS01,NSE
A2ZINFRA,INE619I01012,A2Z Infra Engineering Limited,20,,,A2ZINFRA,Engineering,Power - Transmission & Equipment,A2Z Infra Eng,http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/a2zinfraengineering/AME02,NSE
AARTIDRUGS,INE767A01016,Aarti Drugs Limited,20,,,AARTIDRUGS,Pharmaceuticals,Pharmaceuticals,Aarti Drugs,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aartidrugs/AD,NSE
AARTIIND,INE769A01020,Aarti Industries Limited,20,CHEMICALS,,AARTIIND,Chemicals,Chemicals,Aarti Ind,http://www.moneycontrol.com/india/stockpricequote/chemicals/aartiindustries/AI45,NSE
AARVEEDEN,INE273D01019,Aarvee Denims & Exports Limited,10,,,AARVEEDEN,Manufacturing,Textiles - Denim,Aarvee Denim,http://www.moneycontrol.com/india/stockpricequote/textilesdenim/aarveedenimexports/ADE,NSE
ABAN,INE421A01028,Aban Offshore Limited,20,ENERGY,,ABAN,Oil & Gas,Oil Drilling And Exploration,Aban Offshore,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/abanoffshore/AO04,NSE
ABB,INE117A01022,ABB India Limited,20,INDUSTRIAL MANUFACTURING,,,,,,,NSE
ABBOTINDIA,INE358A01014,Abbott India Limited,20,,,ABBOTINDIA,Pharmaceuticals,Pharmaceuticals,Abbott India,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/abbottindia/AI51,NSE
ABCAPITAL,INE674K01013,Aditya Birla Capital Limited,20,,,ABCAPITAL,Miscellaneous,Miscellaneous,AB Capital,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/adityabirlacapital/ABC9,NSE
ABFRL,INE647O01011,Aditya Birla Fashion and Retail Limited,20,CONSUMER GOODS,,ABFRL,Retail/Real Estate,Retail,Aditya Birla F,http://www.moneycontrol.com/india/stockpricequote/retail/adityabirlafashionretail/PFR,NSE
ACC,INE012A01025,ACC Limited,No Band,CEMENT & CEMENT PRODUCTS,Derivative Product/NIFTY NEXT 50,ACC,Cement/Construction,Cement - Major,ACC,http://www.moneycontrol.com/india/stockpricequote/cementmajor/acc/ACC06,NSE
ACCELYA,INE793A01012,Accelya Kale Solutions Limited,20,,,ACCELYA,Technology,Computers - Software Medium & Small,Accelya Kale,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/accelyakalesolutions/KAL,NSE
ACE,INE731H01025,Action Construction Equipment Limited,10,,,ACE,Engineering,Engineering - Heavy,Action Const,http://www.moneycontrol.com/india/stockpricequote/engineeringheavy/actionconstructionequipment/ACE3,NSE
ADANIENT,INE423A01024,Adani Enterprises Limited,No Band,SERVICES,NIFTY Free float Smallcap 100,ADANIENT,Services,Trading,Adani Enterpris,http://www.moneycontrol.com/india/stockpricequote/trading/adanienterprises/AE13,NSE
ADANIPORTS,INE742F01042,Adani Ports and Special Economic Zone Limited,No Band,SERVICES,Derivative Product/Nifty Infrastructure Index/Nifty 50,ADANIPORTS,Engineering,Infrastructure - General,Adani Ports,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/adaniportsspecialeconomiczone/MPS,NSE
ADANIPOWER,INE814H01011,Adani Power Limited,No Band,ENERGY,Derivative Product/Nifty Midcap 50/Nifty Infrastructure Index,,,,,,NSE
ADANITRANS,INE931S01010,Adani Transmission Limited,10,ENERGY,,ADANITRANS,Miscellaneous,Power - Transmission & Equipment,Adani Trans,http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/adanitransmission/AT22,NSE
ADFFOODS,INE982B01019,ADF Foods Limited,20,,,ADFFOODS,Food & Beverage,Food Processing,ADF Foods,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/adffoodsindustries/AF30,NSE
ADHUNIK,INE400H01019,Adhunik Metaliks Limited,20,,,ADHUNIK,Metals & Mining,Steel - Sponge Iron,Adhunik Metalik,http://www.moneycontrol.com/india/stockpricequote/steelspongeiron/adhunikmetaliks/AM9,NSE
ADORWELD,INE045A01017,Ador Welding Limited,20,,,ADORWELD,Engineering,Electrodes & Graphite,Ador Welding,http://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/adorwelding/AW01,NSE
ADVANIHOTR,INE199C01026,Advani Hotels & Resorts (India) Limited,20,,,ADVANIHOTR,Services,Hotels,Advani Hotels,http://www.moneycontrol.com/india/stockpricequote/hotels/advanihotelsresortsindia/AHR,NSE
ADVENZYMES,INE837H01020,Advanced Enzyme Technologies Limited,20,CONSUMER GOODS,NIFTY Smallcap 50/NIFTY Full Smallcap 100/NIFTY Free float Smallcap 100,ADVENZYMES,Pharmaceuticals,Pharmaceuticals,Advanced Enzyme,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/advancedenzymetechnologies/AET,NSE
AEGISCHEM,INE208C01025,Aegis Logistics Limited,20,ENERGY,NIFTY Free float Smallcap 100,AEGISCHEM,Services,Transport & Logistics,Aegis Logistics,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/aegislogistics/AL9,NSE
AGLSL,INE517U01013,Artemis Global Life Sciences Limited,20,,,AGLSL,Miscellaneous,Miscellaneous,Artemis Global,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/artemisgloballifescience/AGL03,NSE
AGRITECH,INE449G01018,Agri-Tech (India) Limited,10,,,AGRITECH,Chemicals,Fertilisers,Agri-Tech,http://www.moneycontrol.com/india/stockpricequote/fertilisers/agritechindia/ATI02,NSE
AHLEAST,INE926K01017,Asian Hotels (East) Limited,20,,,AHLEAST,Services,Hotels,Asian Hotel (E),http://www.moneycontrol.com/india/stockpricequote/hotels/asianhotelseast/AHE01,NSE
AHLUCONT,INE758C01029,Ahluwalia Contracts (India) Limited,20,CONSTRUCTION,,AHLUCONT,Cement/Construction,Construction & Contracting - Civil,Ahluwalia,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ahluwaliacontractsindia/ACI12,NSE
AIAENG,INE212H01026,AIA Engineering Limited,20,INDUSTRIAL MANUFACTURING,,AIAENG,Engineering,Castings & Forgings,AIA Engineering,http://www.moneycontrol.com/india/stockpricequote/castingsforgings/aiaengineering/AIE01,NSE
AIFL,INE428O01016,Ashapura Intimates Fashion Limited,20,,,AIFL,Manufacturing,Textiles - Readymade Apparels,Ashapura Intima,http://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/ashapuraintimatesfashion/AIF01,NSE
AJANTPHARM,INE031B01049,Ajanta Pharma Limited,No Band,PHARMA,"Derivative Product/Nifty Midcap 50 	",AJANTPHARM,Pharmaceuticals,Pharmaceuticals,Ajanta Pharma,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ajantapharma/AP22,NSE
AJMERA,INE298G01027,Ajmera Realty & Infra India Limited,20,,,AJMERA,Metals & Mining,Construction & Contracting - Real Estate,Ajmera Realty,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/ajmerarealtyinfraindia/ARI03,NSE
AKSHARCHEM,INE542B01011,AksharChem India Limited,20,,,AKSHARCHEM,Chemicals,Dyes & Pigments,AksharChem,http://www.moneycontrol.com/india/stockpricequote/dyespigments/aksharchemindia/AI29,NSE
AKZOINDIA,INE133A01011,Akzo Nobel India Limited,20,CONSUMER GOODS,,AKZOINDIA,Chemicals,Paints & Varnishes,Akzo Nobel,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/akzonobelindia/ICI,NSE
ALANKIT,INE914E01040,Alankit Limited,5,,,ALANKIT,Banking/Finance,Finance - General,Alankit,http://www.moneycontrol.com/india/stockpricequote/financegeneral/alankit/EGJ,NSE
ALBERTDAVD,INE155C01010,Albert David Limited,20,,,ALBERTDAVD,Pharmaceuticals,Pharmaceuticals,Albert David,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/albertdavid/AD01,NSE
ALBK,INE428A01015,Allahabad Bank,No Band,FINANCIAL SERVICES,Derivative Product,ALBK,Banking/Finance,Banks - Public Sector,Allahabad Bank,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/allahabadbank/AB15,NSE
ALEMBICLTD,INE426A01027,Alembic Limited,20,,,ALEMBICLTD,Pharmaceuticals,Pharmaceuticals,Alembic,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alembic/A08,NSE
ALICON,INE062D01024,Alicon Castalloy Limited,20,,,ALICON,Manufacturing,Castings & Forgings,Alicon Castallo,http://www.moneycontrol.com/india/stockpricequote/castingsforgings/aliconcastalloy/EC06,NSE
ALKALI,INE773I01017,Alkali Metals Limited,10,,,ALKALI,Chemicals,Chemicals,Alkali Metals,http://www.moneycontrol.com/india/stockpricequote/chemicals/alkalimetals/AM11,NSE
ALKEM,INE540L01014,Alkem Laboratories Limited,20,PHARMA,NIFTY INDIA CONSUMPTION,ALKEM,Pharmaceuticals,Pharmaceuticals,Alkem Lab,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alkemlaboratories/AL05,NSE
ALKYLAMINE,INE150B01021,Alkyl Amines Chemicals Limited,20,,,ALKYLAMINE,Chemicals,Chemicals,Alkyl Amines,http://www.moneycontrol.com/india/stockpricequote/chemicals/alkylamineschemicals/AAC,NSE
ALLCARGO,INE418H01029,Allcargo Logistics Limited,20,SERVICES,,ALLCARGO,Services,Transport & Logistics,Allcargo,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/allcargologistics/AGL02,NSE
ALLSEC,INE835G01018,Allsec Technologies Limited,20,,,ALLSEC,Technology,Computers - Software Medium & Small,ALLSEC Tech,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/allsectechnologies/ALL01,NSE
ALPA,INE385I01010,Alpa Laboratories Limited,10,,,ALPA,Pharmaceuticals,Pharmaceuticals,Alpa Labs,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alpalaboratories/AL11,NSE
ALPHAGEO,INE137C01018,Alphageo (India) Limited,20,,,,,,,,NSE
AMARAJABAT,INE885A01032,Amara Raja Batteries Limited,No Band,AUTOMOBILE,Derivative Product,AMARAJABAT,Automotive,Auto Ancillaries,Amara Raja Batt,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/amararajabatteries/ARB,NSE
AMBER,INE371P01015,Amber Enterprises India Limted,No Band,,,AMBER,Miscellaneous,Miscellaneous,Amber Enterprises India Ltd Ltd,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/amberenterprisesindialtd/AEI01,NSE
AMBIKCO,INE540G01014,Ambika Cotton Mills Limited,20,,,AMBIKCO,Manufacturing,Textiles - Spinning - Cotton Blended,Ambika Cotton,http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/ambikacottonmills/ACM04,NSE
AMBUJACEM,INE079A01024,Ambuja Cements Limited,No Band,CEMENT & CEMENT PRODUCTS,Derivative Product/ Nifty 50,AMBUJACEM,Cement/Construction,Cement - Major,Ambuja Cements,http://www.moneycontrol.com/india/stockpricequote/cementmajor/ambujacements/AC18,NSE
AMDIND,INE005I01014,AMD Industries Limited,20,,,AMDIND,Manufacturing,Packaging,AMD Industries,http://www.moneycontrol.com/india/stockpricequote/packaging/amdindustries/AMD02,NSE
AMRUTANJAN,INE098F01023,Amrutanjan Health Care Limited,20,,,,,,,,NSE
ANANTRAJ,INE242C01024,Anant Raj Limited,20,,,ANANTRAJ,Retail/Real Estate,Construction & Contracting - Real Estate,Anant Raj,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/anantraj/ARI,NSE
ANDHRABANK,INE434A01013,Andhra Bank,No Band,FINANCIAL SERVICES,Derivative Product/Nifty Midcap 50,,,,,,NSE
ANDHRACEMT,INE666E01012,Andhra Cements Limited,5,,,ANDHRACEMT,Cement/Construction,Cement - Major,Andhra Cement,http://www.moneycontrol.com/india/stockpricequote/cementmajor/andhracement/AC16,NSE
ANDHRSUGAR,INE715B01013,The Andhra Sugars Limited,20,,,ANDHRSUGAR,Food & Beverage,Sugar,Andhra Sugar,http://www.moneycontrol.com/india/stockpricequote/sugar/andhrasugars/AS18,NSE
ANGIND,INE017D01010,ANG Industries Limited,5,,,ANGIND,Automotive,Auto Ancillaries,ANG Industries,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/angindustries/ANG,NSE
ANIKINDS,INE087B01017,Anik Industries Limited,10,,,ANIKINDS,Miscellaneous,Edible Oils & Solvent Extraction,Anik Industries,http://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/anikindustries/AI57,NSE
ANSALAPI,INE436A01026,Ansal Properties & Infrastructure Limited,5,,,ANSALAPI,Retail/Real Estate,Construction & Contracting - Housing,Ansal Propertie,http://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/ansalpropertiesinfrastructure/API07,NSE
ANSALHSG,INE880B01015,Ansal Housing and Construction Limited,20,,,ANSALHSG,Retail/Real Estate,Construction & Contracting - Housing,Ansal Housing,http://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/ansalhousingconstruction/AHC,NSE
APARINDS,INE372A01015,Apar Industries Limited,20,INDUSTRIAL MANUFACTURING,,APARINDS,Miscellaneous,Electric Equipment,Apar Ind,http://www.moneycontrol.com/india/stockpricequote/electricequipment/aparindustries/AI40,NSE
APCL,INE071F01012,Anjani Portland Cement Limited,20,,,APCL,Cement/Construction,Cement - Mini,Anjani Cement,http://www.moneycontrol.com/india/stockpricequote/cementmini/anjaniportlandcement/APC,NSE
APCOTEXIND,INE116A01024,Apcotex Industries Limited,20,,,APCOTEXIND,Miscellaneous,Rubber,Apcotex Ind,http://www.moneycontrol.com/india/stockpricequote/rubber/apcotexindustries/AI58,NSE
APEX,INE346W01013,Apex Frozen Foods Limited,5,,,APEX,Food & Beverage,Food Processing,Apex Frozen,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/apexfrozenfoods/AFF,NSE
APLAPOLLO,INE702C01019,APL Apollo Tubes Limited,20,METALS,,APLAPOLLO,Metals & Mining,Steel - Tubes & Pipes,APL Apollo,http://www.moneycontrol.com/india/stockpricequote/steeltubespipes/aplapollotubes/BT09,NSE
APLLTD,INE901L01018,Alembic Pharmaceuticals Limited,20,PHARMA,,APLLTD,Pharmaceuticals,Pharmaceuticals,Alembic Pharma,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alembicpharmaceuticals/AP35,NSE
APOLLOHOSP,INE437A01024,Apollo Hospitals Enterprise Limited,No Band,HEALTHCARE SERVICES,NIFTY MidSmallcap 400/NIFTY Midcap 50/ NIFTY Midcap 150/NIFTY Full Midcap 100/NIFTY MIDCAP LIQUID 15,APOLLOHOSP,Services,Hospitals & Medical Services,Apollo Hospital,http://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/apollohospitalsenterprises/AHE,NSE
APOLLOTYRE,INE438A01022,Apollo Tyres Limited,No Band,AUTOMOBILE,Derivative Product/Nifty Midcap 50,APOLLOTYRE,Automotive,Tyres,Apollo Tyres,http://www.moneycontrol.com/india/stockpricequote/tyres/apollotyres/AT14,NSE
APOLSINHOT,INE451F01016,Apollo Sindoori Hotels Limited,20,,,APOLSINHOT,Services,Hotels,Apollo Sindoori,http://www.moneycontrol.com/india/stockpricequote/hotels/apollosindoorihotels/ASH,NSE
APTECHT,INE266F01018,Aptech Limited,20,,,APTECHT,Technology,Computers - Software - Training,Aptech,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaretraining/aptech/A11,NSE
ARCHIDPLY,INE877I01016,Archidply Industries Limited,20,,,ARCHIDPLY,Miscellaneous,Miscellaneous,Archidply Ind,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/archidplyindustries/AI,NSE
ARCHIES,INE731A01020,Archies Limited,10,,,ARCHIES,Miscellaneous,Printing & Stationery,Archies,http://www.moneycontrol.com/india/stockpricequote/printingstationery/archies/A15,NSE
ARCOTECH,INE574I01035,Arcotech Limited,20,,,,,,,,NSE
ARIHANTSUP,INE643K01018,Arihant Superstructures Limited,20,,,ARIHANTSUP,Banking/Finance,Construction & Contracting - Real Estate,Arihant Super,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/arihantsuperstructures/SMC07,NSE
AROGRANITE,INE210C01013,Aro Granite Industries Limited,20,,,AROGRANITE,Cement/Construction,Ceramics & Granite,Aro Granite,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/arograniteindustries/AGI01,NSE
ARROWGREEN,INE570D01018,Arrow Greentech Limited,20,,,ARROWGREEN,Manufacturing,Plastics,Arrow Greentech,http://www.moneycontrol.com/india/stockpricequote/plastics/arrowgreentech/ACP,NSE
ARROWTEX,INE933J01015,Arrow Textiles Limited,20,,,ARROWTEX,Manufacturing,Textiles - Weaving,Arrow Textiles,http://www.moneycontrol.com/india/stockpricequote/textilesweaving/arrowtextiles/AT20,NSE
ARSHIYA,INE968D01022,Arshiya Limited,20,,,ARSHIYA,Services,Transport & Logistics,Arshiya,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/arshiya/AI60,NSE
ARVIND,INE034A01011,Arvind Limited,No Band,TEXTILES,Derivative Product,ARVIND,Manufacturing,Textiles - Denim,Arvind,http://www.moneycontrol.com/india/stockpricequote/textilesdenim/arvind/A18,NSE
ARVSMART,INE034S01021,Arvind SmartSpaces Limited,20,,,,,,,,NSE
ASAHIINDIA,INE439A01020,Asahi India Glass Limited,20,,,ASAHIINDIA,Manufacturing,Glass & Glass Products,Asahi India,http://www.moneycontrol.com/india/stockpricequote/glassglassproducts/asahiindiaglass/AIG01,NSE
ASAHISONG,INE228I01012,Asahi Songwon Colors Limited,20,,,ASAHISONG,Chemicals,Dyes & Pigments,Asahi Songwon,http://www.moneycontrol.com/india/stockpricequote/dyespigments/asahisongwoncolors/ASC01,NSE
ASAL,INE900C01027,Automotive Stampings and Assemblies Limited,20,,,ASAL,Automotive,Auto Ancillaries,Auto Stampings,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/automotivestampingsassemblies/ASA01,NSE
ASHAPURMIN,INE348A01023,Ashapura Minechem Limited,10,,,ASHAPURMIN,Metals & Mining,Mining & Minerals,Ashapura Mine,http://www.moneycontrol.com/india/stockpricequote/miningminerals/ashapuraminechem/AM07,NSE
ASHIANA,INE365D01021,Ashiana Housing Limited,20,,,ASHIANA,Retail/Real Estate,Construction & Contracting - Housing,Ashiana Housing,http://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/ashianahousing/AH07,NSE
ASHIMASYN,INE440A01010,Ashima Limited,20,,,ASHIMASYN,Manufacturing,Textiles - Spinning - Cotton Blended,Ashima,http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/ashima/A10,NSE
ASHOKA,INE442H01029,Ashoka Buildcon Limited,20,CONSTRUCTION,,ASHOKA,Cement/Construction,Construction & Contracting - Civil,Ashoka Buildcon,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ashokabuildcon/AB,NSE
ASHOKLEY,INE208A01029,Ashok Leyland Limited,No Band,AUTOMOBILE,Derivative Product/Nifty Midcap 50,ASHOKLEY,Automotive,Auto - LCVs & HCVs,Ashok Leyland,http://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/ashokleyland/AL,NSE
ASIANHOTNR,INE363A01022,Asian Hotels (North) Limited,20,,,ASIANHOTNR,Services,Hotels,Asian Hotels,http://www.moneycontrol.com/india/stockpricequote/hotels/asianhotelsnorth/AH,NSE
ASIANPAINT,INE021A01026,Asian Paints Limited,No Band,CONSUMER GOODS,,ASIANPAINT,Chemicals,Paints & Varnishes,Asian Paints,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/asianpaints/AP31,NSE
ASIANTILES,INE022I01019,Asian Granito India Limited,20,,,ASIANTILES,Cement/Construction,Ceramics & Granite,Asian Granito,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/asiangranitoindia/AGI04,NSE
ASPINWALL,INE991I01015,Aspinwall and Company Limited,20,,,ASPINWALL,Miscellaneous,Miscellaneous,Aspinwall,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/aspinwallcompany/AC27,NSE
ASTEC,INE563J01010,Astec LifeSciences Limited,20,,,ASTEC,Pharmaceuticals,Pharmaceuticals,Astec Life,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/asteclifesciences/AL13,NSE
ASTRAL,INE006I01046,Astral Poly Technik Limited,20,INDUSTRIAL MANUFACTURING,,ASTRAL,Manufacturing,Plastics,Astral Poly Tec,http://www.moneycontrol.com/india/stockpricequote/plastics/astralpolytechnik/APT02,NSE
ASTRAMICRO,INE386C01029,Astra Microwave Products Limited,20,,,,,,,,NSE
ASTRAZEN,INE203A01020,AstraZeneca Pharma India Limited,20,PHARMA,,ASTRAZEN,Pharmaceuticals,Pharmaceuticals,AstraZeneca,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/astrazenecapharma/AZP,NSE
ATFL,INE209A01019,Agro Tech Foods Limited,20,,,ATFL,Miscellaneous,Edible Oils & Solvent Extraction,Agro Tech Foods,http://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/agrotechfoods/ATF,NSE
ATLANTA,INE285H01022,Atlanta  Limited,20,,,,,,,,NSE
ATUL,INE100A01010,Atul Limited,20,CHEMICALS,,,,,,,NSE
ATULAUTO,INE951D01028,Atul Auto Limited,20,,,ATULAUTO,Automotive,Auto - 2 & 3 Wheelers,Atul Auto,http://www.moneycontrol.com/india/stockpricequote/auto23wheelers/atulauto/AA08,NSE
AUBANK,INE949L01017,AU Small Finance Bank Limited,20,FINANCIAL SERVICES,,AUBANK,Banking/Finance,Finance - General,AU Small Financ,http://www.moneycontrol.com/india/stockpricequote/financegeneral/ausmallfinancebank/ASF02,NSE
AURIONPRO,INE132H01018,Aurionpro Solutions Limited,20,,,AURIONPRO,Technology,Computers - Software Medium & Small,aurionPro Sol,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/aurionprosolutions/PS12,NSE
AUROPHARMA,INE406A01037,Aurobindo Pharma Limited,No Band,PHARMA,Derivative Product/Nifty Midcap 50,AUROPHARMA,Pharmaceuticals,Pharmaceuticals,Aurobindo Pharm,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aurobindopharma/AP,NSE
AUSOMENT,INE218C01016,Ausom Enterprise Limited,10,,,AUSOMENT,Manufacturing,Finance - Investments,Ausom Enterp,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/ausomenterprise/CE06,NSE
AUTOAXLES,INE449A01011,Automotive Axles Limited,20,,,AUTOAXLES,Automotive,Auto Ancillaries,Automotive Axle,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/automotiveaxles/AA06,NSE
AUTOLITIND,INE448A01013,Autolite (India) Limited,10,,,AUTOLITIND,Automotive,Auto Ancillaries,Autolite India,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/autoliteindia/AI31,NSE
AVADHSUGAR,INE349W01017,Avadh Sugar & Energy Limited,20,,,AVADHSUGAR,Food & Beverage,Sugar,Avadh Sugar,http://www.moneycontrol.com/india/stockpricequote/sugar/avadhsugarenergy/ASE03,NSE
AVANTIFEED,INE871C01020,Avanti Feeds Limited,20,CONSUMER GOODS,,AVANTIFEED,Miscellaneous,Aquaculture,Avanti Feeds,http://www.moneycontrol.com/india/stockpricequote/aquaculture/avantifeeds/AF21,NSE
AVTNPL,INE488D01021,AVT Natural Products Limited,20,,,AVTNPL,Miscellaneous,Edible Oils & Solvent Extraction,AVT Natural,http://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/avtnaturalproducts/AVT02,NSE
AXISBANK,INE238A01034,Axis Bank Limited,No Band,FINANCIAL SERVICES,Derivative Product/Bank Nifty/ Nifty 50,AXISBANK,Banking/Finance,Banks - Private Sector,Axis Bank,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/axisbank/AB16,NSE
AXISCADES,INE555B01013,AXISCADES Engineering Technologies Limited,20,,,AXISCADES,Technology,Computers - Software Medium & Small,AXISCADES Engg,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/axiscadesengineeringtechnologies/AXI,NSE
AXISGOLD,INF846K01347,Axis Mutual Fund - Axis Gold ETF,20,,,,,,,,NSE
AXISNIFTY,INF846K01ZL0,Axis Mutual Fund - AXIS NIFTY ETF,20,,,,,,,,NSE
AYMSYNTEX,INE193B01039,AYM Syntex Limited,20,,,AYMSYNTEX,Manufacturing,Textiles - Processing,AYM Syntex,http://www.moneycontrol.com/india/stockpricequote/textilesprocessing/aymsyntex/WS01,NSE
BAFNAPHARM,INE878I01014,Bafna Pharmaceuticals Limited,10,,,BAFNAPHARM,Pharmaceuticals,Pharmaceuticals,Bafna Pharma,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/bafnapharmaceuticals/BP01,NSE
BAJAJ-AUTO,INE917I01010,Bajaj Auto Limited,No Band,AUTOMOBILE,Derivative Product/ Nifty 50,BAJAJ-AUTO,Automotive,Auto - 2 & 3 Wheelers,Bajaj Auto,http://www.moneycontrol.com/india/stockpricequote/auto23wheelers/bajajauto/BA10,NSE
BAJAJCORP,INE933K01021,Bajaj Corp Limited,20,CONSUMER GOODS,,,,,,,NSE
BAJAJELEC,INE193E01025,Bajaj Electricals Limited,20,CONSUMER GOODS,,BAJAJELEC,Cons Durable,Domestic Appliances,Bajaj Electric,http://www.moneycontrol.com/india/stockpricequote/domesticappliances/bajajelectricals/BE,NSE
BAJAJFINSV,INE918I01018,Bajaj Finserv Limited,No Band,FINANCIAL SERVICES,NIFTY SERVICES SECTOR,BAJAJFINSV,Banking/Finance,Finance - Investments,Bajaj Finserv,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajajfinserv/BF04,NSE
BAJAJHIND,INE306A01021,Bajaj Hindusthan Sugar Limited,20,CONSUMER GOODS,,BAJAJHIND,Food & Beverage,Sugar,Bajaj Hind,http://www.moneycontrol.com/india/stockpricequote/sugar/bajajhindusthan/BH06,NSE
BAJAJHLDNG,INE118A01012,Bajaj Holdings & Investment Limited,20,FINANCIAL SERVICES,,BAJAJHLDNG,Banking/Finance,Finance - Investments,Bajaj Holdings,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajajholdingsinvestment/BHI,NSE
BAJFINANCE,INE296A01024,Bajaj Finance Limited,No Band,FINANCIAL SERVICES,Derivative Product/NIFTY 50/NIFTY100 LIQUID 15,BAJFINANCE,Banking/Finance,Finance - Leasing & Hire Purchase,Bajaj Finance,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/bajajfinance/BAF,NSE
